ingredient,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,cholesterol_mg
Coffee Sub,19.73,0.35,0.15,4.24,0.59,0.21,5.6,0.22,6.58,91.38,0.02,0.32
Coffee&Cocoa (Mocha) Pdr,25.7,0.9,1.32,7.14,0.48,3.5,6.0,0.31,50.0,185.6,0.0,0.0
Coffeecake,36.73,0.59,1.49,5.34,0.18,1.03,7.63,0.14,39.51,12.89,0.03,3.91
Coleslaw,7.8,0.13,0.26,1.24,0.15,0.0,4.5,0.06,2.3,18.1,3.27,0.8
Collards,3.12,0.26,0.04,0.6,0.31,0.04,17.43,0.1,11.2,19.27,2.74,0.0
Company,6.3,0.24,0.32,0.64,0.04,0.08,0.8,0.1,61.1,0.0,0.0,1.4
Conch,13.0,2.63,0.12,0.17,0.0,0.0,9.8,0.14,15.3,16.3,0.0,6.5
Continen Mill,41.8,0.56,1.03,7.56,0.17,4.0,8.2,0.25,59.0,0.0,0.0,0.0
Cookies,45.0,0.56,1.88,6.71,0.19,1.92,4.31,0.27,32.63,17.26,0.01,2.19
Coriander (Cilantro) Leaves,2.3,0.21,0.05,0.37,0.28,0.09,6.7,0.18,4.6,52.1,2.7,0.0
Coriander Leaf,27.9,2.19,0.48,5.21,1.04,0.73,124.6,4.25,21.1,446.6,56.67,0.0
Corn,12.48,0.37,0.15,2.72,0.31,0.3,0.49,0.08,10.12,24.23,0.47,0.0
Corn Bran,22.4,0.84,0.09,8.56,7.9,0.0,4.2,0.28,0.7,4.4,0.0,0.0
Corn Cakes,38.7,0.81,0.24,8.34,0.0,0.0,1.9,0.14,2.8,15.7,0.0,0.0
Corn Flr,36.52,0.78,0.36,7.71,0.58,0.04,5.05,0.36,0.43,28.28,0.0,0.0
Corn Pudd,13.1,0.43,0.51,1.7,0.14,0.7,4.0,0.05,28.1,17.6,0.37,7.4
Corn W/Red&Grn Peppers,7.5,0.23,0.06,1.82,0.0,0.0,0.5,0.08,34.7,15.3,0.88,0.0
Corn-Based,52.52,0.65,2.99,5.95,0.31,0.15,7.02,0.2,87.4,15.12,0.06,0.2
Corned Beef Loaf,15.3,2.29,0.61,0.0,0.0,0.0,1.1,0.2,95.3,10.1,0.0,4.7
Cornmeal,36.36,0.84,0.31,7.56,0.66,0.08,13.77,0.39,52.94,24.03,0.0,0.0
Cornnuts,44.0,0.9,1.47,7.17,0.78,0.02,2.03,0.17,71.97,29.17,0.53,0.07
Cornsalad,2.1,0.2,0.04,0.36,0.0,0.0,3.8,0.22,0.4,45.9,3.82,0.0
Cottonseed Flr,34.55,4.54,0.38,3.83,0.15,0.0,47.6,1.26,3.5,176.65,0.24,0.0
Cottonseed Krnls,50.6,3.26,3.63,2.19,0.55,0.0,10.0,0.54,2.5,135.0,0.9,0.0
Cottonseed Meal,36.7,4.91,0.48,3.84,0.0,0.0,50.4,1.34,3.7,186.9,0.25,0.0
Couscous,24.4,0.83,0.04,5.03,0.32,0.01,1.6,0.07,0.75,11.2,0.0,0.0
Cowpeas,10.64,0.78,0.07,1.9,0.34,0.1,5.06,0.27,12.44,42.19,1.05,0.05
Cowpeas (Blackeyes),11.38,0.59,0.05,2.19,0.55,0.31,7.57,0.17,8.33,40.97,0.27,0.0
Crab,10.18,1.87,0.17,0.16,0.0,0.06,6.19,0.1,53.52,27.65,0.43,7.21
Crabapples,7.6,0.04,0.03,2.0,0.0,0.0,1.8,0.04,0.1,19.4,0.8,0.0
Crackers,43.45,1.02,1.32,6.97,0.59,0.26,8.75,0.38,61.63,24.72,0.01,0.84
Cranberries,13.63,0.05,0.06,3.56,0.57,2.3,1.27,0.06,1.03,8.83,0.95,0.0
Cranberry,5.5,0.04,0.05,1.22,0.0,0.0,2.6,0.04,0.0,0.0,2.1,0.0
Cranberry Juc,4.6,0.04,0.01,1.22,0.01,1.21,0.8,0.02,0.2,7.7,0.93,0.0
Cranberry Juc Cocktail,8.02,0.0,0.0,2.03,0.01,1.72,0.7,0.01,0.32,2.5,3.27,0.0
Cranberry Sau,15.1,0.02,0.02,3.89,0.1,3.79,0.4,0.02,2.9,2.6,0.2,0.0
Cranberry-Apple Juc Drk,4.1,0.0,0.01,1.03,0.01,0.95,0.65,0.01,0.35,3.1,3.58,0.0
Cranberry-Apricot Juc Drk,6.4,0.02,0.0,1.62,0.01,0.0,0.9,0.02,0.2,6.1,0.0,0.0
Cranberry-Grape Juc Drk,5.6,0.02,0.01,1.4,0.01,0.0,0.8,0.0,0.3,2.4,3.2,0.0
Cranberry-Orange Relish,17.8,0.03,0.01,4.62,0.0,0.0,1.1,0.02,3.2,3.8,1.8,0.0
Crayfish,7.95,1.63,0.11,0.0,0.0,0.0,4.08,0.08,7.78,27.42,0.08,12.28
Cream,20.08,0.26,1.93,0.53,0.0,0.21,9.32,0.01,6.85,13.09,0.07,6.54
Cream Puffs,31.0,0.78,2.07,2.28,0.06,0.5,5.1,0.16,44.9,10.6,0.02,16.5
Cream Sub,25.33,0.09,1.24,3.6,0.04,3.08,0.52,0.03,12.05,27.45,0.0,0.0
Cream Substitute,54.5,0.48,3.55,5.49,0.0,5.49,2.2,0.12,18.1,81.2,0.0,0.0
Creamy Drsng,15.0,0.12,1.1,1.15,0.0,0.45,2.1,0.02,97.75,4.25,0.02,0.0
Cress,2.6,0.21,0.06,0.44,0.08,0.35,6.77,0.1,8.87,43.73,3.83,0.0
Crisped Rice Bar,40.4,0.51,1.35,7.3,0.22,0.0,2.1,0.63,27.8,16.8,0.0,0.0
Crls,10.4,0.32,0.13,1.98,0.17,0.81,24.0,0.42,17.7,7.3,0.0,0.0
Crmy Drsg,10.7,0.14,0.27,2.0,0.0,0.53,3.6,0.02,100.0,13.3,0.0,0.0
Croaker,16.25,1.8,0.79,0.38,0.02,0.0,2.35,0.06,20.2,34.25,0.0,7.25
Croissants,35.8,0.83,1.69,4.33,0.26,0.75,4.0,0.18,52.43,11.33,0.03,5.17
Croutons,43.6,1.14,1.24,6.85,0.5,0.22,8.6,0.34,96.8,15.25,0.0,0.35
Cucumber,1.35,0.06,0.01,0.29,0.06,0.15,1.5,0.02,0.2,14.15,0.3,0.0
Currants,13.4,0.23,0.03,3.44,0.37,2.49,5.8,0.19,0.37,49.63,7.56,0.0
Cusk,9.95,2.17,0.08,0.0,0.0,0.0,1.15,0.09,3.55,44.75,0.0,4.7
Custard-Apple,10.1,0.17,0.06,2.52,0.24,0.0,3.0,0.07,0.4,38.2,1.92,0.0
Cuttlefish,11.85,2.44,0.1,0.12,0.0,0.0,13.5,0.84,55.8,49.55,0.69,16.8
Dairy Drk Mix,17.9,1.36,0.14,2.8,0.51,1.79,76.95,0.42,36.0,121.85,0.3,1.3
Dandelion Greens,4.5,0.27,0.07,0.92,0.35,0.07,18.7,0.31,7.6,39.7,3.5,0.0
Dandelion Grns,3.3,0.2,0.06,0.64,0.29,0.11,14.0,0.18,16.2,23.2,1.8,0.0
Danish Pastry,38.67,0.63,2.07,4.54,0.16,1.0,5.69,0.13,37.14,9.69,0.22,4.22
Dates,27.95,0.21,0.03,7.5,0.73,6.49,5.15,0.1,0.15,67.6,0.02,0.0
Deer (Venison),11.1,2.15,0.27,0.0,0.0,0.0,0.7,0.29,0.0,0.0,0.0,1.8
Dessert Topping,33.67,0.27,2.5,2.7,0.0,2.7,2.95,0.01,6.88,8.85,0.02,0.25
Desserts,22.86,0.27,0.42,4.75,0.14,1.4,54.88,0.17,337.28,17.76,0.03,3.92
Dill Weed,14.8,1.17,0.27,3.14,0.79,0.0,99.6,2.77,13.45,202.3,6.75,0.0
Dock,2.07,0.19,0.07,0.3,0.18,0.0,4.0,0.22,8.2,34.4,3.35,0.0
Dolphinfish,9.7,2.11,0.08,0.0,0.0,0.0,1.7,0.13,10.05,47.45,0.0,8.35
"Domino'S 14"" Cheese Pizza",28.2,1.18,1.18,3.21,0.19,0.33,16.8,0.2,51.2,16.67,0.0,1.6
"Domino'S 14"" Pepperoni Pizza",27.9,1.19,1.14,3.23,0.18,0.34,11.7,0.25,51.65,17.6,0.0,1.95
Doo Dads Snack Mix,45.6,1.03,1.85,6.43,0.68,0.0,7.4,0.25,127.1,27.7,0.01,0.1
Doughnuts,38.98,0.55,2.07,4.68,0.15,1.8,6.09,0.18,34.66,10.01,0.02,2.58
Dove,21.9,2.39,1.3,0.0,0.0,0.0,1.7,0.59,5.7,25.6,0.29,11.6
Drink Mix,37.6,0.0,0.06,9.47,0.0,8.51,2.0,0.02,33.3,11.55,0.02,0.0
Drum,13.6,2.0,0.56,0.0,0.0,0.0,6.85,0.1,8.55,31.4,0.1,7.3
Duck,19.71,2.14,1.17,0.03,0.0,0.0,0.91,0.51,7.68,14.02,0.29,12.47
Durian,14.7,0.15,0.53,2.71,0.38,0.0,0.6,0.04,0.2,43.6,1.97,0.0
Dutch Brand Loaf,27.3,1.2,2.29,0.39,0.03,0.09,0.7,0.02,105.5,21.0,0.14,6.0
Eclairs,26.2,0.64,1.57,2.42,0.06,0.66,6.3,0.12,33.7,11.7,0.03,12.7
Edamame,11.6,1.06,0.5,0.93,0.5,0.23,6.15,0.22,0.6,45.9,0.79,0.0
Eel,21.0,2.1,1.33,0.0,0.0,0.0,2.3,0.06,5.8,31.05,0.18,14.35
Egg,26.47,2.56,1.6,0.25,0.0,0.13,9.43,0.26,48.17,30.04,0.0,72.47
Egg Custards,21.4,0.5,0.44,3.92,0.0,0.0,17.2,0.09,15.27,32.83,0.07,11.97
Egg Mix,54.9,3.56,3.45,2.4,0.0,0.25,17.1,0.32,57.6,37.3,0.0,111.0
Egg Rolls,20.5,0.9,0.55,3.0,0.24,0.59,4.23,0.17,54.87,24.77,0.0,0.93
Egg Substitute,22.93,2.63,0.91,0.85,0.0,0.85,15.07,0.24,39.2,42.9,0.04,19.17
Eggnog-Flavor Mix,9.5,0.29,0.3,1.42,0.0,1.27,9.2,0.01,5.5,12.1,0.0,1.1
Eggplant,3.52,0.09,0.03,0.81,0.27,0.34,1.15,0.04,47.9,12.2,0.12,0.0
Eggs,13.3,1.31,0.56,0.75,0.0,0.75,1.7,0.02,16.2,14.7,0.0,6.5
Elderberries,7.3,0.07,0.05,1.84,0.7,0.0,3.8,0.16,0.6,28.0,3.6,0.0
Elk,9.7,2.01,0.18,0.0,0.0,0.0,0.4,0.72,4.9,32.8,0.0,0.0
Emu,13.3,2.61,0.24,0.0,0.0,0.0,0.53,0.52,9.77,32.17,0.0,8.32
Endive,1.7,0.12,0.02,0.34,0.31,0.02,5.2,0.08,2.2,31.4,0.65,0.0
Eng Drk,0.5,0.02,0.01,0.07,0.0,0.0,1.3,0.0,8.4,0.3,0.0,0.0
English,27.0,1.03,0.2,5.26,0.28,0.35,19.7,0.46,47.7,12.9,0.17,0.0
English Muffin,22.7,0.89,0.17,4.42,0.35,0.35,16.3,0.4,42.5,10.9,0.18,0.0
English Muffins,23.65,0.87,0.2,4.69,0.39,0.45,16.95,0.28,44.75,17.37,0.03,0.0
Engy Drk,4.5,0.02,0.01,1.09,0.0,1.01,1.3,0.0,8.4,0.3,0.0,0.0
Ensure Fiber W/ Fos,9.7,0.34,0.24,1.64,0.11,0.47,13.6,0.18,7.8,14.4,1.17,0.0
Ensure Plus,14.1,0.52,0.45,1.99,0.0,1.99,7.9,0.18,9.5,17.5,1.19,0.2
Entrees,24.9,1.67,1.48,1.27,0.05,0.0,17.75,0.2,67.55,29.5,0.02,8.55
Epazote,3.2,0.03,0.05,0.74,0.38,0.0,27.5,0.19,4.3,63.3,0.36,0.0
Eppaw,15.0,0.46,0.18,3.17,0.0,0.0,11.0,0.12,1.2,34.0,1.3,0.0
Falafel,33.3,1.33,1.78,3.18,0.0,0.0,5.4,0.34,29.4,58.5,0.16,0.0
Fast Fd,27.6,1.24,1.23,2.9,0.18,0.34,18.44,0.19,59.04,17.18,0.0,2.82
Fast Fds,24.4,1.43,1.45,1.4,0.12,0.41,7.3,0.31,43.5,19.0,0.04,4.3
Fast Foods,24.67,1.03,1.27,2.35,0.03,0.11,8.65,0.18,48.88,20.6,0.2,5.29
Fat,89.77,0.0,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.97
Feijoa,4.9,0.12,0.08,1.06,0.0,0.0,1.7,0.01,0.3,15.5,2.03,0.0
Fennel,3.1,0.12,0.02,0.73,0.31,0.0,4.9,0.07,5.2,41.4,1.2,0.0
Fiddlehead Ferns,3.4,0.44,0.04,0.56,0.0,0.0,2.8,0.1,0.05,24.95,2.22,0.0
Figs,10.67,0.1,0.03,2.76,0.33,1.95,5.36,0.06,0.27,22.96,0.17,0.0
Fireweed,7.35,0.39,0.18,1.28,0.83,0.0,22.1,0.22,4.2,37.25,5.06,0.0
Fish,18.01,2.37,0.89,0.1,0.0,0.0,4.47,0.16,12.19,23.32,0.01,3.9
Fish Oil,90.2,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.2
Fish Portions&Stks,24.9,1.1,1.32,2.12,0.14,0.25,2.6,0.1,42.1,21.6,0.0,3.2
Fish Sticks,29.0,2.3,1.8,0.9,0.61,0.08,9.5,0.2,49.0,60.0,0.0,0.0
Flan,18.8,0.2,0.16,4.3,0.0,0.0,8.27,0.01,21.9,15.87,0.05,0.63
Flatfish (Flounder&Sole Sp),10.4,2.15,0.14,0.0,0.0,0.0,1.8,0.03,9.3,35.25,0.08,5.8
Fluid Replcmnt,1.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,10.1,7.7,0.0,0.0
Form,34.3,2.24,0.9,5.25,1.05,2.27,149.5,1.8,33.3,0.0,17.62,0.4
Form Bar,37.04,1.58,1.15,5.32,0.52,3.05,86.68,0.74,34.36,0.0,11.0,0.22
Formulated,62.93,1.27,5.88,2.41,0.52,0.0,2.27,0.23,21.43,29.97,0.01,0.0
Formulated Bar,36.3,1.42,0.31,6.96,0.57,3.01,50.4,1.17,14.6,36.2,9.23,0.0
Frankfurter,20.96,1.37,1.48,0.47,0.05,0.02,6.96,0.16,84.43,20.91,0.3,5.21
Freezer Queen Gravy&Sliced Bf Meal,8.1,0.6,0.19,1.0,0.14,0.0,0.0,0.0,25.4,0.0,0.0,1.2
French Toast,22.1,0.76,0.84,2.86,0.06,0.0,10.35,0.19,48.7,13.4,0.03,9.9
Frijoles Rojos Volteados (Refried Bns,14.4,0.5,0.69,1.55,0.47,0.0,3.3,0.2,37.5,31.0,0.0,0.0
Frog Legs,7.3,1.64,0.03,0.0,0.0,0.0,1.8,0.15,5.8,28.5,0.0,5.0
Frosting,35.9,0.14,0.72,7.22,0.11,6.43,3.2,0.06,13.2,13.0,0.01,1.8
Frostings,38.66,0.09,1.04,7.45,0.08,2.54,0.79,0.05,13.88,9.63,0.0,0.21
Froz Novelties,2.1,0.0,0.0,0.51,0.0,0.15,0.0,0.07,1.0,1.1,1.04,0.0
Froz Novlt,22.6,0.64,1.01,2.75,0.08,0.85,22.2,0.03,10.4,30.5,0.0,1.0
Frozen Novelites,11.5,0.14,0.14,2.41,0.01,2.06,14.1,0.03,4.2,12.0,2.12,0.7
Frozen Novelt,31.7,0.44,2.02,3.09,0.06,0.0,25.2,0.07,9.2,23.8,0.07,0.1
Frozen Novelties,12.03,0.24,0.15,2.59,0.18,1.38,6.52,0.06,7.03,3.48,0.37,0.2
Frozen Novl,22.4,0.52,1.19,2.71,0.48,0.86,28.9,0.04,8.6,0.0,0.1,0.8
Frozen Yogurts,13.68,0.37,0.39,2.24,0.09,1.59,12.98,0.05,7.84,24.02,0.05,0.74
Fruit,13.77,0.14,0.03,3.57,0.36,0.0,1.53,0.11,0.83,33.7,4.93,0.0
Fruit Butters,17.3,0.04,0.03,4.25,0.15,3.53,1.4,0.03,1.5,9.1,0.06,0.0
Fruit Cocktail,5.87,0.04,0.01,1.54,0.11,0.96,0.66,0.03,0.51,9.23,0.22,0.0
Fruit Leather,36.5,0.06,0.28,8.43,0.0,5.34,2.5,0.09,36.0,22.9,8.8,0.0
Fruit Punch Drk,7.58,0.01,0.0,1.92,0.02,0.56,0.7,0.01,1.52,2.82,5.74,0.0
Fruit Punch Juc Drk,10.85,0.02,0.04,2.68,0.01,0.0,1.35,0.05,0.75,16.8,1.23,0.0
Fruit Punch-Flavor Drk,20.95,0.0,0.01,5.36,0.0,5.22,7.95,0.03,2.45,0.3,6.68,0.0
Fruit Salad,6.42,0.04,0.01,1.67,0.1,0.3,0.83,0.03,0.45,9.45,0.5,0.0
Fruit-Flavored Drk,22.2,0.03,0.01,8.89,0.12,0.0,92.35,0.01,20.9,150.8,148.0,0.0
Fruit-Flavored Drk Mix,22.6,0.0,0.0,9.13,0.0,0.0,110.5,0.0,272.7,0.1,109.09,0.0
Frybread,31.95,0.75,1.12,4.71,0.09,0.18,5.45,0.37,50.0,7.6,0.0,0.55
Frz Nvl,12.4,0.43,0.19,3.01,0.6,0.71,13.8,0.07,12.0,0.0,0.09,0.7
Fst Fd,26.4,1.19,0.95,3.26,0.17,0.4,17.7,0.21,53.5,15.4,0.0,2.1
Fst Foods,31.2,0.94,1.55,3.37,0.22,0.31,10.2,0.2,39.15,37.0,0.14,2.05
Ft Fds,22.6,1.13,1.24,1.73,0.15,0.4,4.6,0.3,34.2,18.8,0.09,3.3
Fungi,28.4,0.92,0.07,7.3,7.01,0.0,15.9,0.59,3.5,75.4,0.0,0.0
Game Meat,15.79,2.66,0.49,0.0,0.0,0.0,1.04,0.39,5.94,34.09,0.09,7.67
Game Meat Bison,19.7,2.34,1.08,0.0,0.0,0.0,0.8,0.3,5.95,34.7,0.0,7.8
Garlic,14.9,0.64,0.05,3.31,0.21,0.1,18.1,0.17,1.7,40.1,3.12,0.0
Gefiltefish,8.4,0.91,0.17,0.74,0.0,0.0,2.3,0.25,52.4,9.1,0.08,3.0
Gelatin Dssrt,24.74,2.06,0.0,4.95,0.0,1.42,0.34,0.01,69.3,28.99,7.9,0.0
Gelatins,33.5,8.56,0.01,0.0,0.0,0.0,5.5,0.11,19.6,1.6,0.0,0.0
General Mills,38.13,0.44,0.71,7.5,0.0,3.73,5.37,0.0,59.93,0.0,0.0,0.0
George Weston Baker,39.0,1.33,0.51,7.27,0.54,0.0,0.0,0.38,168.0,0.0,0.0,0.0
George Weston Bakeries,23.2,0.8,0.18,4.6,0.0,0.0,18.0,0.14,34.5,0.0,0.0,0.0
Ginger,34.7,0.91,0.6,7.08,1.25,0.34,11.6,1.15,3.2,134.3,0.7,0.0
Ginger Root,8.0,0.18,0.08,1.78,0.2,0.17,1.6,0.06,1.3,41.5,0.5,0.0
Ginkgo Nuts,21.37,0.57,0.18,4.4,0.31,0.0,0.87,0.1,10.9,56.27,1.78,0.0
Goat,10.9,2.06,0.23,0.0,0.0,0.0,1.3,0.28,8.2,38.5,0.0,5.7
Goose,24.16,2.18,1.59,0.13,0.0,0.0,1.9,0.83,8.92,33.5,0.32,17.32
Gooseberries,5.85,0.08,0.04,1.45,0.34,0.0,2.05,0.03,0.15,13.75,1.89,0.0
Gourd,2.87,0.07,0.02,0.71,0.0,0.0,1.87,0.03,8.72,25.58,0.84,0.0
Granola Bar,53.35,0.74,3.17,5.47,0.5,2.89,7.5,0.16,17.25,29.65,0.06,0.6
Granola Bars,45.24,0.83,1.95,6.56,0.43,0.71,7.25,0.26,27.63,30.7,0.01,0.15
Grape Drink,6.1,0.0,0.0,1.58,0.0,1.31,5.2,0.01,1.6,1.2,3.14,0.0
Grape Juc,6.0,0.04,0.01,1.48,0.02,1.42,1.1,0.02,0.5,10.4,1.26,0.0
Grape Juc Cocktail,11.5,0.04,0.02,2.86,0.02,2.84,0.85,0.02,0.45,4.75,5.35,0.0
Grape Juice Drink,5.7,0.0,0.0,1.46,0.01,1.41,0.7,0.01,0.9,3.3,2.65,0.0
Grape Leaves,8.1,0.49,0.2,1.45,0.55,0.32,32.6,0.28,143.1,15.05,1.12,0.0
Grapefruit,3.76,0.06,0.01,0.95,0.06,0.54,1.43,0.02,0.12,14.19,3.21,0.0
Grapefruit Juc,6.2,0.08,0.02,1.47,0.02,1.46,1.18,0.03,0.16,21.94,4.95,0.0
Grapefruit Juice,3.9,0.05,0.01,0.92,0.0,0.0,0.9,0.02,0.1,16.2,3.8,0.0
Grapes,6.3,0.06,0.02,1.63,0.08,1.51,1.1,0.06,0.38,14.8,0.42,0.0
Gravy,24.99,0.75,0.65,4.09,0.17,0.41,10.48,0.29,373.68,24.02,0.17,0.68
Green Giant,11.0,1.12,0.36,0.84,0.32,0.0,5.65,0.21,46.85,24.0,1.77,0.0
Groundcherries,5.3,0.19,0.07,1.12,0.0,0.0,0.9,0.1,0.0,0.0,1.1,0.0
Grouper,10.5,2.21,0.12,0.0,0.0,0.0,2.4,0.1,5.3,47.9,0.0,4.2
Gry,3.9,0.11,0.11,0.62,0.07,0.05,0.6,0.01,58.7,2.2,0.0,0.2
Guanabana Nectar,5.9,0.01,0.02,1.49,0.01,1.31,0.7,0.04,0.8,2.5,1.11,0.0
Guava Nectar,5.7,0.01,0.01,1.49,0.1,1.24,1.1,0.12,0.7,3.8,1.97,0.0
Guava Sauce,3.6,0.03,0.01,0.95,0.36,0.59,0.7,0.02,0.4,22.5,14.64,0.0
Guavas,6.85,0.16,0.08,1.58,0.54,0.45,1.95,0.02,1.95,35.45,13.26,0.0
Guinea Hen,13.4,2.2,0.45,0.0,0.0,0.0,1.1,0.08,6.8,20.65,0.15,6.85
Haddock,10.5,2.28,0.09,0.0,0.0,0.0,4.13,0.13,30.6,37.5,0.0,6.93
Halibut,16.88,2.01,0.92,0.0,0.0,0.0,2.85,0.09,7.65,40.95,0.0,4.45
Ham,19.04,1.69,1.22,0.22,0.03,0.0,1.08,0.09,126.08,37.0,0.12,5.6
Hazelnuts Or Filberts,63.75,1.44,6.18,1.73,1.02,0.42,13.6,0.38,0.0,70.65,0.29,0.0
Hc Chk Enchi Supma In Grn Chili Sau,11.0,0.38,0.25,1.82,0.15,0.07,1.8,0.03,17.9,0.0,0.0,1.1
Hc Contry Rstd Tky W/Cranberry Appl Sau,8.1,0.58,0.15,1.11,0.24,0.67,1.7,0.06,15.9,0.0,4.59,0.9
Hc Mesq Bf W/Bbq Sau,11.0,0.71,0.26,1.44,0.19,0.5,1.2,0.08,12.9,0.0,0.5,1.7
Hc Salbry Stk W/Mshrm Grvy,9.4,0.6,0.22,1.27,0.2,0.58,2.5,0.08,16.2,0.0,1.2,0.9
Hc Tradition Mt Lf W/Brn Sau,8.7,0.52,0.26,1.08,0.19,0.4,3.0,0.08,14.6,0.0,0.77,1.1
Headcheese,15.7,1.38,1.09,0.0,0.0,0.0,1.6,0.15,83.0,3.1,0.0,6.9
Healthy Choic Bf Macaroni,8.8,0.59,0.09,1.39,0.19,0.38,1.9,0.11,18.5,15.2,2.42,0.6
Healthy Choic Chick Teriyaki W/Rice Medley Broccoli,8.0,0.5,0.15,1.14,0.3,0.44,1.0,0.02,19.1,0.0,1.4,0.7
Healthy Choic Mesq Chk Bbq,9.3,0.57,0.15,1.42,0.22,0.48,1.0,0.05,15.0,0.0,0.3,1.1
Hearts Of Palm,2.8,0.25,0.06,0.46,0.24,0.0,5.8,0.31,42.6,17.7,0.79,0.0
Heinz,24.1,0.44,0.69,4.03,0.21,1.68,4.8,0.07,30.0,0.0,0.0,4.7
Herring,21.42,1.95,1.38,0.16,0.0,0.13,8.02,0.13,36.03,37.12,0.04,6.8
Hickorynuts,65.7,1.27,6.44,1.82,0.64,0.0,6.1,0.21,0.1,43.6,0.2,0.0
Hodgson Mill,37.6,1.41,0.47,6.92,0.76,0.0,11.4,0.26,61.1,0.0,0.0,0.8
Hominy,7.2,0.15,0.09,1.43,0.25,0.09,1.0,0.06,21.0,0.9,0.0,0.0
Honey Roll Sausage,18.2,1.86,1.05,0.22,0.0,0.0,0.9,0.22,132.2,29.1,0.0,5.0
Hormel,10.0,1.16,0.46,0.35,0.06,0.05,0.6,0.08,72.75,24.35,0.14,3.35
Hormel Always Tender,13.18,1.82,0.56,0.2,0.0,0.08,0.9,0.08,46.66,45.62,0.18,4.72
Hormel Chili,8.2,0.72,0.28,0.76,0.13,0.14,2.1,0.11,41.1,14.8,0.0,1.5
Hormel Chili W/Bns,9.7,0.67,0.18,1.36,0.34,0.19,2.8,0.13,47.1,26.8,0.02,1.0
Hormel Corned Bf Hash,16.4,0.87,1.02,0.93,0.11,0.03,1.9,0.1,42.5,17.2,0.09,3.2
Hormel Rst Bf Hash,16.3,0.9,1.0,0.97,0.15,0.02,1.8,0.1,33.6,18.3,0.08,3.1
Hormel Spam,19.1,1.52,1.39,0.14,0.0,0.13,3.9,0.14,103.2,46.1,3.85,7.5
Hormel Turkey Chili W/Bns,8.2,0.76,0.11,1.03,0.26,0.23,4.7,0.14,48.5,27.6,0.06,1.4
Hormel Vegetarian Chili W/Bns,8.3,0.48,0.03,1.54,0.4,0.25,3.9,0.14,31.5,32.5,0.05,0.0
Horseradish,4.8,0.12,0.07,1.13,0.33,0.8,5.6,0.04,31.4,24.6,2.49,0.0
Horseradish-Tree,4.58,0.34,0.05,0.94,0.31,0.04,7.44,0.12,12.36,41.26,7.94,0.0
Horseradish-Tree Leafy Tips,6.4,0.94,0.14,0.83,0.2,0.0,18.5,0.4,0.9,33.7,5.17,0.0
Hot Pockets,25.95,1.02,1.14,2.9,0.06,0.0,11.85,0.25,57.35,0.0,0.25,3.3
Hot Pockets Ham 'N Chs Stuffed Sndwch,26.6,1.16,1.11,3.0,0.0,0.0,19.6,0.2,52.0,0.0,0.0,3.9
Huckleberries,3.7,0.04,0.01,0.87,0.0,0.0,1.5,0.03,1.0,0.0,0.28,0.0
Hummus,17.15,0.64,0.91,1.72,0.5,0.01,4.35,0.2,31.05,20.05,0.4,0.0
Hush Puppies,33.7,0.77,1.35,4.6,0.28,0.2,27.8,0.3,66.8,14.4,0.02,4.5
Hyacinth Bns,19.27,1.34,0.09,3.41,0.0,0.0,7.0,0.48,9.03,63.63,0.0,0.0
Hyacinth-Beans,4.87,0.27,0.02,0.92,0.0,0.0,4.4,0.08,8.07,25.87,0.77,0.0
Ice Creams,17.58,0.41,0.74,2.47,0.13,1.48,13.7,0.04,7.6,10.53,0.1,2.95
Ice Crm Cones,40.95,0.8,0.53,8.15,0.24,1.58,3.45,0.4,23.15,12.85,0.0,0.0
Imitation Chs,39.0,2.5,3.2,0.1,0.0,0.1,70.5,0.07,67.0,5.5,0.0,1.5
Inf Fo,23.4,0.6,1.24,2.43,0.0,2.27,23.83,0.43,8.73,27.0,2.77,0.0
Inf For,16.35,0.4,0.86,1.75,0.0,1.71,15.8,0.28,5.65,18.26,2.1,0.22
Inf For Nutr,12.9,0.27,0.7,1.38,0.0,1.38,10.8,0.23,3.9,13.8,1.15,0.4
Inf Form,28.72,0.69,1.54,3.03,0.0,2.99,24.93,0.44,8.8,28.49,2.93,0.56
Inf Formmead John,6.5,0.14,0.35,0.72,0.0,0.72,5.1,0.12,1.8,7.1,0.79,0.1
Inf Formu,27.15,0.85,1.23,3.18,0.0,3.12,48.05,0.53,9.25,31.25,3.13,0.2
Inf Formula,25.32,0.62,1.27,2.84,0.0,2.57,24.32,0.45,8.57,27.98,2.7,0.5
Infa For,6.7,0.18,0.36,0.68,0.0,0.44,6.9,0.12,2.9,7.7,0.59,0.1
Infant Formula,20.16,0.48,1.09,2.15,0.0,2.12,18.66,0.27,7.01,21.95,2.4,0.29
Interstate Brands Corp,27.3,0.81,0.42,5.08,0.26,1.11,8.7,0.22,59.6,0.0,0.0,0.0
Jackfruit,9.3,0.09,0.02,2.4,0.12,0.0,3.9,0.04,0.7,19.95,0.36,0.0
Jams & Preserves,13.2,0.03,0.03,5.36,0.25,3.78,0.9,0.04,0.0,6.9,0.0,0.0
