ingredient,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,cholesterol_mg
Sesame Flour,42.95,4.05,1.94,3.11,0.0,0.0,15.4,1.47,4.0,41.0,0.0,0.0
Sesame Flr,38.2,4.03,1.19,3.51,0.0,0.0,15.0,1.43,4.1,42.5,0.0,0.0
Sesame Meal,56.7,1.7,4.8,2.6,0.0,0.0,15.3,1.46,3.9,40.6,0.0,0.0
Sesame Sd Krnls,58.83,1.81,5.24,2.13,1.51,0.05,10.73,0.73,22.47,39.4,0.0,0.0
Sesame Seeds,56.9,1.73,4.88,2.46,1.29,0.02,98.2,1.47,1.1,47.15,0.0,0.0
Sesame Stks,54.1,1.09,3.67,4.65,0.14,0.01,17.0,0.07,75.85,17.7,0.0,0.0
Sesbania Flower,2.33,0.12,0.0,0.57,0.0,0.0,2.1,0.07,9.1,13.27,4.9,0.0
Shad,22.45,1.93,1.57,0.0,0.0,0.0,5.35,0.11,5.8,43.8,0.0,8.55
Shake,12.93,0.34,0.43,1.97,0.11,1.07,11.37,0.03,8.7,18.27,0.04,1.57
Shallots,21.0,0.74,0.03,4.88,0.0,0.0,11.0,0.36,3.55,99.2,2.35,0.0
Shark,17.9,1.98,0.92,0.32,0.0,0.0,4.2,0.1,10.05,15.75,0.0,5.5
Sheepshead,11.7,2.31,0.2,0.0,0.0,0.0,2.9,0.06,7.2,45.8,0.0,5.7
Sherbet,14.4,0.11,0.2,3.04,0.13,2.43,5.4,0.01,4.6,9.6,0.23,0.1
Shortening,88.64,0.0,10.0,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.51
Shortening Bread,88.4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shortening Cake Mix,88.4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shortening Confectionery,88.4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shortening Frying (Hvy Duty),89.2,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Shortening Frying (Reg),88.4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shortening Frying Hvy Duty,88.4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shortening Industrial,89.2,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8
Shrimp,12.96,1.91,0.36,0.43,0.01,0.0,6.44,0.19,43.96,15.22,0.2,16.24
Side Dishes,11.4,0.15,0.6,1.35,0.0,0.0,1.4,0.07,32.8,27.0,0.11,6.0
Silk Chai,5.3,0.25,0.14,0.78,0.0,0.58,12.3,0.04,4.1,12.3,0.0,0.0
Silk Choc,5.8,0.21,0.14,0.95,0.08,0.78,12.3,0.06,4.1,14.4,0.0,0.0
Silk Coffee,6.2,0.21,0.14,1.03,0.0,0.95,12.3,0.0,4.1,13.2,0.0,0.0
Silk Lt Choc,4.9,0.21,0.06,0.9,0.08,0.78,12.3,0.06,4.1,14.4,0.0,0.0
Silk Lt Pln,2.9,0.25,0.08,0.33,0.04,0.25,12.3,0.04,4.9,12.3,0.0,0.0
Silk Lt Vanilla,3.3,0.25,0.08,0.41,0.04,0.29,12.3,0.04,3.9,12.3,0.0,0.0
Silk Mocha,5.8,0.21,0.14,0.9,0.0,0.74,12.3,0.04,4.1,12.3,0.0,0.0
Silk Nog,7.4,0.25,0.16,1.23,0.0,0.98,1.6,0.03,6.1,12.3,0.0,0.0
Silk Pln,4.1,0.29,0.16,0.33,0.04,0.25,12.3,0.04,4.9,12.3,0.0,0.0
Silk Plus Fiber,4.1,0.25,0.14,0.58,0.21,0.29,12.3,0.04,3.9,12.3,0.0,0.0
Silk Plus For Bone Health,4.1,0.25,0.14,0.45,0.08,0.29,16.5,0.04,3.9,12.3,0.0,0.0
Silk Plus Omega-3 Dha,4.5,0.29,0.21,0.33,0.04,0.25,14.4,0.04,4.9,14.4,0.0,0.0
Silk Unswtnd,3.3,0.29,0.16,0.16,0.04,0.04,12.3,0.04,3.5,12.3,0.0,0.0
Silk Vanilla,4.1,0.25,0.14,0.41,0.04,0.29,12.3,0.04,3.9,12.3,0.0,0.0
Silk Very Vanilla,5.3,0.25,0.16,0.78,0.04,0.66,14.4,0.04,5.8,12.3,0.86,0.0
Sisymbrium Sp. Seeds,31.8,1.21,0.46,5.83,0.0,0.0,163.3,0.01,9.2,213.0,3.07,0.0
Smart Ones,10.3,0.52,0.19,1.63,0.11,0.67,4.1,0.03,25.0,0.0,0.11,1.75
